TrackId,TrackName,Genre,Artist,Album,Revenue,UnitsSold
2832,The Woman King,Science Fiction,Battlestar Galactica,"Battlestar Galactica, Season 3",3.98,2
2850,The Fix,Drama,Heroes,"Heroes, Season 1",3.98,2
2868,Walkabout,TV Shows,Lost,"Lost, Season 1",3.98,2
3177,Hot Girl,TV Shows,The Office,"The Office, Season 1",3.98,2
3200,Gay Witch Hunt,TV Shows,The Office,"The Office, Season 3",3.98,2
3214,Phyllis's Wedding,Comedy,The Office,"The Office, Season 3",3.98,2
3223,How to Stop an Exploding Man,Drama,Heroes,"Heroes, Season 1",3.98,2
3250,Pilot,TV Shows,Aquaman,Aquaman,3.98,2
2820,Occupation / Precipice,TV Shows,Battlestar Galactica,"Battlestar Galactica, Season 3",1.99,1
2821,"Exodus, Pt. 1",TV Shows,Battlestar Galactica,"Battlestar Galactica, Season 3",1.99,1
2822,"Exodus, Pt. 2",TV Shows,Battlestar Galactica,"Battlestar Galactica, Season 3",1.99,1
2823,Collaborators,TV Shows,Battlestar Galactica,"Battlestar Galactica, Season 3",1.99,1
2826,Hero,Science Fiction,Battlestar Galactica,"Battlestar Galactica, Season 3",1.99,1
2827,Unfinished Business,Science Fiction,Battlestar Galactica,"Battlestar Galactica, Season 3",1.99,1
2828,The Passage,Science Fiction,Battlestar Galactica,"Battlestar Galactica, Season 3",1.99,1
2833,A Day In the Life,Science Fiction,Battlestar Galactica,"Battlestar Galactica, Season 3",1.99,1
2837,"Crossroads, Pt. 1",Sci Fi & Fantasy,Battlestar Galactica,"Battlestar Galactica, Season 3",1.99,1
2838,"Crossroads, Pt. 2",Sci Fi & Fantasy,Battlestar Galactica,"Battlestar Galactica, Season 3",1.99,1
2839,Genesis,TV Shows,Heroes,"Heroes, Season 1",1.99,1
2841,One Giant Leap,Drama,Heroes,"Heroes, Season 1",1.99,1
2844,Better Halves,Drama,Heroes,"Heroes, Season 1",1.99,1
2845,Nothing to Hide,TV Shows,Heroes,"Heroes, Season 1",1.99,1
2846,Seven Minutes to Midnight,Drama,Heroes,"Heroes, Season 1",1.99,1
2851,Distractions,Drama,Heroes,"Heroes, Season 1",1.99,1
2855,Company Man,Drama,Heroes,"Heroes, Season 1",1.99,1
2856,Parasite,Drama,Heroes,"Heroes, Season 1",1.99,1
2859,"Man of Science, Man of Faith (Premiere)",TV Shows,Lost,"Lost, Season 2",1.99,1
2860,Adrift,TV Shows,Lost,"Lost, Season 2",1.99,1
2862,The Glass Ballerina,Drama,Lost,"Lost, Season 3",1.99,1
2864,Orientation,TV Shows,Lost,"Lost, Season 2",1.99,1
2869,...And Found,TV Shows,Lost,"Lost, Season 2",1.99,1
2873,House of the Rising Sun,TV Shows,Lost,"Lost, Season 1",1.99,1
2874,I Do,TV Shows,Lost,"Lost, Season 3",1.99,1
2877,The Moth,TV Shows,Lost,"Lost, Season 1",1.99,1
2878,The Other 48 Days,TV Shows,Lost,"Lost, Season 2",1.99,1
2882,Lost Survival Guide,Drama,Lost,"Lost, Season 3",1.99,1
2883,Solitary,TV Shows,Lost,"Lost, Season 1",1.99,1
2886,Stranger In a Strange Land,Drama,Lost,"Lost, Season 3",1.99,1
2887,The 23rd Psalm,TV Shows,Lost,"Lost, Season 2",1.99,1
2891,Enter 77,Drama,Lost,"Lost, Season 3",1.99,1
2892,Fire + Water,Drama,Lost,"Lost, Season 2",1.99,1
2895,Par Avion,Drama,Lost,"Lost, Season 3",1.99,1
2896,The Long Con,TV Shows,Lost,"Lost, Season 2",1.99,1
2900,Exposé,Drama,Lost,"Lost, Season 3",1.99,1
2901,Homecoming,TV Shows,Lost,"Lost, Season 1",1.99,1
2904,Outlaws,TV Shows,Lost,"Lost, Season 1",1.99,1
2905,The Whole Truth,Drama,Lost,"Lost, Season 2",1.99,1
2909,Catch-22,Drama,Lost,"Lost, Season 3",1.99,1
2910,Dave,TV Shows,Lost,"Lost, Season 2",1.99,1
2913,Deus Ex Machina,TV Shows,Lost,"Lost, Season 1",1.99,1
2914,S.O.S.,TV Shows,Lost,"Lost, Season 2",1.99,1
2918,"""?""",TV Shows,Lost,"Lost, Season 2",1.99,1
2919,Born to Run,TV Shows,Lost,"Lost, Season 1",1.99,1
2922,"Live Together, Die Alone, Pt. 1",Drama,Lost,"Lost, Season 2",1.99,1
2923,Exodus (Part 2) [Season Finale],TV Shows,Lost,"Lost, Season 1",1.99,1
3168,The Hard Part,Drama,Heroes,"Heroes, Season 1",1.99,1
3169,The Man Behind the Curtain,Drama,Lost,"Lost, Season 3",1.99,1
3173,Diversity Day,TV Shows,The Office,"The Office, Season 1",1.99,1
3178,The Dundies,TV Shows,The Office,"The Office, Season 2",1.99,1
3182,Halloween,TV Shows,The Office,"The Office, Season 2",1.99,1
3186,Email Surveillance,TV Shows,The Office,"The Office, Season 2",1.99,1
3187,Christmas Party,TV Shows,The Office,"The Office, Season 2",1.99,1
3191,The Carpet,TV Shows,The Office,"The Office, Season 2",1.99,1
3196,Michael's Birthday,TV Shows,The Office,"The Office, Season 2",1.99,1
3201,The Convention,TV Shows,The Office,"The Office, Season 3",1.99,1
3202,The Coup,TV Shows,The Office,"The Office, Season 3",1.99,1
3204,The Initiation,TV Shows,The Office,"The Office, Season 3",1.99,1
3205,Diwali,TV Shows,The Office,"The Office, Season 3",1.99,1
3206,Branch Closing,TV Shows,The Office,"The Office, Season 3",1.99,1
3208,The Convict,Comedy,The Office,"The Office, Season 3",1.99,1
3209,"A Benihana Christmas, Pts. 1 & 2",Comedy,The Office,"The Office, Season 3",1.99,1
3210,Back from Vacation,Comedy,The Office,"The Office, Season 3",1.99,1
3212,Producer's Cut: The Return,Comedy,The Office,"The Office, Season 3",1.99,1
3218,Safety Training,Comedy,The Office,"The Office, Season 3",1.99,1
3222,The Job,Comedy,The Office,"The Office, Season 3",1.99,1
3224,Through a Looking Glass,Drama,Lost,"Lost, Season 3",1.99,1
3226,"Battlestar Galactica, Pt. 1",Sci Fi & Fantasy,Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",1.99,1
3227,"Battlestar Galactica, Pt. 2",Sci Fi & Fantasy,Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",1.99,1
3229,"Lost Planet of the Gods, Pt. 1",Sci Fi & Fantasy,Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",1.99,1
3230,"Lost Planet of the Gods, Pt. 2",Sci Fi & Fantasy,Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",1.99,1
3231,The Lost Warrior,Sci Fi & Fantasy,Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",1.99,1
3232,The Long Patrol,Sci Fi & Fantasy,Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",1.99,1
3233,"The Gun On Ice Planet Zero, Pt. 1",Sci Fi & Fantasy,Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",1.99,1
3234,"The Gun On Ice Planet Zero, Pt. 2",Sci Fi & Fantasy,Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",1.99,1
3235,The Magnificent Warriors,Sci Fi & Fantasy,Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",1.99,1
3237,"The Living Legend, Pt. 1",Sci Fi & Fantasy,Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",1.99,1
3238,"The Living Legend, Pt. 2",Sci Fi & Fantasy,Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",1.99,1
3241,"War of the Gods, Pt. 2",Sci Fi & Fantasy,Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",1.99,1
3244,"Greetings from Earth, Pt. 1",Sci Fi & Fantasy,Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",1.99,1
